query,engine,domain,URL,title,text
freedom fight,Google,vifindia.org,https://www.vifindia.org/2020/august/14/swami-vivekananda-s-influence-on-indian-freedom-fighters,Swami Vivekananda's Influence on Indian Freedom Fighters ...www.vifindia.org › august › swami-vivekananda-s-infl...,
freedom fight,Google,rstv.nic.in,https://rstv.nic.in/tag/indias-unsung-women-freedom-fighters,India's Unsung Women Freedom Fighters Archives - Rajya ...rstv.nic.in › tag › indias-unsung-women-freedom-fighters,
freedom fight,Google,thelogicalindian.com,https://thelogicalindian.com/news/101-yr-old-freedom-fighter-caa/,"He Once Fought British, Now Fighting Against CAA: This 101 ...thelogicalindian.com › Latest News",
freedom fight,Google,stanleycenter.org,https://stanleycenter.org/publications/terrorists-or-freedom-fighters/,Terrorists or Freedom Fighters? | Stanley Center for Peace ...stanleycenter.org › publications › terrorists-or-freedom-...,
freedom fight,Google,thesaurus.com,https://www.thesaurus.com/browse/freedom fighter,FREEDOM FIGHTER Synonyms & Antonyms | Thesaurus.comwww.thesaurus.com › browse › freedom fighter,
freedom fight,Google,hpkangra.nic.in,https://hpkangra.nic.in/service/apply-online-for-freedom-fighter-certificate/,Apply online for Freedom Fighter Certificate | District Kangra ...hpkangra.nic.in › service › apply-online-for-freedom-fi...,
freedom fight,Google,embracerace.org,https://www.embracerace.org/resources/lift-up-the-freedom-fighters-why-resistance-must-be-part-of-any-discussion-of-oppression-mia-birdsong,Lift Up The Freedom Fighters | EmbraceRacewww.embracerace.org › resources › lift-up-the-freedo...,
freedom fight,Google,moneycontrol.com,https://www.moneycontrol.com/news/photos/india/74th-independence-day-remembering-indias-great-freedom-fighters-who-sacrificed-their-lives-for-the-country-5705671.html,74th Independence Day | Remembering India's Great ...www.moneycontrol.com › NEWS › PHOTOS › INDIA,
freedom fight,Google,instagram.com,https://www.instagram.com/freedomfighters/?hl=en,Freedom Fighters (@freedomfighters) • Instagram photos and ...www.instagram.com › freedomfighters,
freedom fight,Google,britannica.com,https://www.britannica.com/topic/Economic-Freedom-Fighters,"Economic Freedom Fighters | Ideology, Leadership, & Facts ...www.britannica.com › ... › Politics & Political Systems",
freedom fight,Google,punjab.gov.in,https://punjab.gov.in/department-of-welfare-of-freedom-fighters/,Department of Welfare of Freedom Fighters – Government of ...punjab.gov.in › department-of-welfare-of-freedom-fig...,
freedom fight,Google,amarujala.com,https://www.amarujala.com/tags/freedom-fight-movement,"Freedom Fight Movement Hindi News, Freedom ... - Amar Ujalawww.amarujala.com › tags › freedo...",
freedom fight,Google,magicbricks.com,https://www.magicbricks.com/4-bhk-flats-in-freedom-fighters-enclave-new-delhi-for-sale-pppfs,"4 BHK Flats for Sale in Freedom Fighters Enclave, New Delhiwww.magicbricks.com › 4-bhk-flats-in-freedom-fighters-...",
freedom fight,Google,gariaband.gov.in,https://gariaband.gov.in/en/document/freedom-fighter/,"Freedom Fighter, Pt. Shyam Shankar Mishra | District ...gariaband.gov.in › document › freedom-fighter",
freedom fight,Google,humanrights.ca,https://humanrights.ca/exhibition/mandela-struggle-for-freedom,Mandela: Struggle for Freedom | CMHRhumanrights.ca › exhibition › mandela-struggle-for-fre...,
freedom fight,Google,nationalheraldindia.com,https://www.nationalheraldindia.com/india/rss-inspired-historians-conspiring-to-distort-the-role-of-early-indian-freedom-fighters,RSS-inspired historians conspiring to distort the role of early ...www.nationalheraldindia.com › NEWS › India,
freedom fight,Google,ioi.dk,https://www.ioi.dk/freedom-fighters/,Freedom Fighters - IO Interactivewww.ioi.dk › News › Freedom Fighters,
freedom fight,Google,zeenews.india.com,https://zeenews.india.com/tags/freedom-fighters.html,Freedom Fighters - Latest News on Freedom Fighters | Read ...zeenews.india.com › tags › freedom-fighters,
